year,state,total_vote,d,r,margin
1880,RHODE ISLAND,29235,10779,18195,-25.366854797331968
1880,SOUTH CAROLINA,169793,111236,57954,31.38056339189483
1880,TENNESSEE,243263,129569,107677,8.999313500203481
1880,TEXAS,240659,155963,57225,41.02817679787583
1880,VERMONT,65098,18316,45567,-41.86150112138621
1880,VIRGINIA,212660,128647,83634,21.16665099219411
1880,WEST VIRGINIA,112641,57390,46243,9.896041405882404
1880,WISCONSIN,267202,114650,144406,-11.1361441905375
1884,ALABAMA,153624,92736,59444,21.671093058376297
1884,ARKANSAS,125779,72734,51198,17.12209510331613
1884,CALIFORNIA,196988,89288,102369,-6.64050602067131
1884,COLORADO,66519,27723,36084,-12.56934109051549
1884,CONNECTICUT,137221,67167,65879,0.9386318420649908
1884,DELAWARE,29984,16957,12953,13.35378868729989
1884,FLORIDA,59990,31769,28031,6.23103850641773
1884,GEORGIA,143610,94667,48603,32.07576074089548
1884,ILLINOIS,672670,312351,337469,-3.734074657707348
1884,INDIANA,495423,245041,238511,1.3180655722483614
1884,IOWA,393542,177316,197089,-5.024368428274495
1884,KANSAS,250991,90111,154410,-25.618050049603376
1884,KENTUCKY,276503,152894,118822,12.32247028061178
1884,LOUISIANA,109399,62594,46347,14.851141235294651
1884,MAINE,130489,52153,72217,-15.376008705714655
1884,MARYLAND,185838,96941,85748,6.022987763535986
1884,MASSACHUSETTS,303383,122352,146724,-8.033409914200861
1884,MICHIGAN,401186,189361,192669,-0.8245551938502349
1884,MINNESOTA,190236,70135,111819,-21.91173069240312
1884,MISSISSIPPI,120688,77653,43035,28.68387909319899
1884,MISSOURI,441268,236023,203081,7.465304531486527
1884,NEBRASKA,134202,54391,76912,-16.7814190548576
1884,NEVADA,12779,5577,7176,-12.51271617497457
1884,NEW HAMPSHIRE,84586,39198,43254,-4.795119759771121
1884,NEW JERSEY,260853,127747,123436,1.652654943588916
1884,NEW YORK,1167003,563048,562001,0.08971699301544289
1884,NORTH CAROLINA,268356,142905,125021,6.664281774955655
1884,OHIO,784620,368280,400092,-4.0544467385486005
1884,OREGON,52683,24598,26845,-4.265132965093111
1884,PENNSYLVANIA,899563,392915,474350,-9.05272893616122
1884,RHODE ISLAND,32771,12391,19030,-20.258765371822644
1884,SOUTH CAROLINA,92812,69845,21730,51.841356721113655
1884,TENNESSEE,259978,133770,124101,3.719160852072101
1884,TEXAS,326458,226375,93345,40.7494991698779
1884,VERMONT,59409,17331,39514,-37.339460351125254
1884,VIRGINIA,284977,145491,139356,2.1528053141130767
1884,WEST VIRGINIA,132145,67311,63096,3.189678005221536
1884,WISCONSIN,319847,146447,161155,-4.598448633252778
1888,ALABAMA,175085,117314,57177,34.34731701744867
1888,ARKANSAS,157058,86062,59752,16.75177323027162
1888,CALIFORNIA,251339,117729,124816,-2.8196976991234965
1888,COLORADO,91946,37549,50772,-14.381267265568926
1888,CONNECTICUT,153978,74920,74584,0.21821299146631556
1888,DELAWARE,29764,16414,12950,11.638220669264888
1888,FLORIDA,66500,39557,26529,19.590977443609027
1888,GEORGIA,142936,100493,40499,41.97263110762858
1888,ILLINOIS,747813,348351,370475,-2.958493634103715
1888,INDIANA,536988,260990,263366,-0.4424679881114668
1888,IOWA,404694,179876,211607,-7.840738928672031
1888,KANSAS,331133,102739,182845,-24.191488012369653
1888,KENTUCKY,344868,183830,155138,8.3197049305821391
1888,LOUISIANA,115891,85032,30660,46.91649912417703
1888,MAINE,128253,50472,73730,-18.134468589428703
1888,MARYLAND,210941,106188,99986,2.9401586225532297
1888,MASSACHUSETTS,344243,151590,183892,-9.383487826912962
1888,MICHIGAN,475356,213469,236387,-4.821228721211051
1888,MINNESOTA,263162,104372,142492,-14.48537402816516
1888,MISSISSIPPI,115786,85451,30095,47.80888881211891
1888,MISSOURI,521359,261943,236252,4.92769857238487
1888,NEBRASKA,202630,80552,108417,-13.751665597394265
1888,NEVADA,12573,5303,7229,-15.31853972798854
1888,NEW HAMPSHIRE,90770,43382,45734,-2.591164481656938
1888,NEW JERSEY,303801,151508,144360,2.352855981382551
1888,NEW YORK,1321270,635965,650338,-1.0878170245294303
1888,NORTH CAROLINA,285946,148336,134784,4.739356381974219
1888,OHIO,839357,395456,416054,-2.4540213520587772
1888,OREGON,61889,26518,33291,-10.943786456397747
1888,PENNSYLVANIA,997568,446633,526091,-7.96517129659331
1888,RHODE ISLAND,40775,17530,21969,-10.886572654813005
1888,SOUTH CAROLINA,79997,65824,13736,65.11244171656438
1888,TENNESSEE,304313,158779,139511,6.331638806097672
1888,TEXAS,363484,236290,93991,39.148628275247326
1888,VERMONT,63476,16788,45193,-44.74919654672632
1888,VIRGINIA,304087,152004,150399,0.5278094755777119
1888,WEST VIRGINIA,159440,78677,78171,0.31736076266933866
1888,WISCONSIN,354614,155232,176553,-6.012452977039823
1892,ALABAMA,232543,138135,9184,55.45253996035141
1892,ARKANSAS,148117,87834,47072,27.520136108616832
1892,CALIFORNIA,269585,118151,118027,0.04599662444126906
1892,COLORADO,93881,NA,38620,NA
1892,CONNECTICUT,164593,82395,77030,3.259555388139229
1892,DELAWARE,37235,18581,18077,1.35356519403787
1892,FLORIDA,35567,30154,NA,NA
1892,GEORGIA,223961,129386,48305,36.20317823192431
1892,IDAHO,19407,NA,8599,NA
1892,ILLINOIS,873667,426281,399308,3.087331901056123
