year,state,total_vote,d,r,margin
1984,TEXAS,5397571,1949276,3433428,-27.496664703437897
1984,UTAH,629656,155369,469105,-49.82657196945633
1984,VERMONT,234561,95730,135865,-17.110687624967497
1984,VIRGINIA,2146635,796250,1337078,-25.19422258558162
1984,WASHINGTON,1883910,807352,1051670,-12.96866623140171
1984,WEST VIRGINIA,735742,328125,405483,-10.51428353961036
1984,WISCONSIN,2211689,995740,1198584,-9.171452224973764
1984,WYOMING,188968,53370,133241,-42.266944667880274
1988,ALABAMA,1378476,549506,815576,-19.301750628955457
1988,ALASKA,200116,72584,119251,-23.319974414839393
1988,ARIZONA,1171873,454029,702541,-21.20639352557829
1988,ARKANSAS,827738,349237,466578,-14.17610403291863
1988,CALIFORNIA,9887065,4702233,5054917,-3.5671253299133787
1988,COLORADO,1372394,621453,728177,-7.776484012608625
1988,CONNECTICUT,1443394,676584,750241,-5.103041858286794
1988,DELAWARE,249891,108647,139639,-12.402207362410012
1988,FLORIDA,4302313,1656701,2618885,-22.364342157346524
1988,GEORGIA,1809672,714792,1081331,-20.254443899225933
1988,HAWAII,354461,192364,158625,9.518395535757108
1988,IDAHO,408968,147272,253881,-26.067809706382896
1988,ILLINOIS,4559120,2215940,2310939,-2.083713523662456
1988,INDIANA,2168621,860643,1297763,-20.15658798840369
1988,IOWA,1225614,670557,545355,10.215451194258552
1988,KANSAS,993044,422636,554049,-13.233351190883791
1988,KENTUCKY,1322517,580368,734281,-11.637884427950643
1988,LOUISIANA,1628202,717460,883702,-10.210158199044097
1988,MAINE,555035,243569,307131,-11.451890421324784
1988,MARYLAND,1714358,826304,876167,-2.9085523560423265
1988,MASSACHUSETTS,2632805,1401415,1194635,7.853980830331148
1988,MICHIGAN,3669163,1675783,1965486,-7.895615430549147
1988,MINNESOTA,2096790,1109471,962337,7.017107101807996
1988,MISSISSIPPI,931527,363921,557890,-20.822692203231902
1988,MISSOURI,2093713,1001619,1084953,-3.980201679981926
1988,MONTANA,365674,168936,190412,-5.872990696631425
1988,NEBRASKA,661465,259235,397956,-20.971782331642647
1988,NEVADA,350067,132738,206040,-20.939420168139243
1988,NEW HAMPSHIRE,451074,163696,281537,-26.124538324088732
1988,NEW JERSEY,3099553,1320352,1743192,-13.641967083640772
1988,NEW MEXICO,521287,244497,270341,-4.9577296191924916
1988,NEW YORK,6485683,3347882,3081871,4.101510974248979
1988,NORTH CAROLINA,2134370,890167,1237258,-16.261988315053156
1988,NORTH DAKOTA,297261,127739,166559,-13.059230776993951
1988,OHIO,4393699,1939629,2416549,-10.854635240147314
1988,OKLAHOMA,1171036,483423,678367,-16.64713979758095
1988,OREGON,1201694,616206,560126,4.666745444347725
1988,PENNSYLVANIA,4536251,2194944,2300087,-2.3178391142818167
1988,RHODE ISLAND,404620,225123,177761,11.705303741782414
1988,SOUTH CAROLINA,986009,370554,606443,-23.923615301685892
1988,SOUTH DAKOTA,312991,145560,165415,-6.343632884012646
1988,TENNESSEE,1636250,679794,947233,-16.344629488158898
1988,TEXAS,5427410,2352748,3036829,-12.604188738274797
1988,UTAH,647008,207343,428442,-34.17252955141204
1988,VERMONT,243328,115775,124331,-3.516241451867436
1988,VIRGINIA,2191609,859799,1309162,-20.503794244320044
1988,WASHINGTON,1865253,933516,903835,1.5912586657145178
1988,WISCONSIN,2191608,1126794,1047499,3.618119663735481
1988,WYOMING,176551,67113,106867,-22.517006417409146
1992,ALABAMA,1688060,690080,804283,-6.765340094546407
1992,ALASKA,258506,78294,102000,-9.170386760848876
1992,ARIZONA,1486975,543050,572086,-1.9526891844180272
1992,ARKANSAS,950653,505823,337324,17.72455354372205
1992,CALIFORNIA,11131721,5121325,3630574,13.391918464359648
1992,COLORADO,1569180,629681,562850,4.258976025694949
1992,CONNECTICUT,1616332,682318,578313,6.434631004026404
1992,DELAWARE,289735,126054,102313,8.194039380813505
1992,FLORIDA,5314392,2072698,2173310,-1.8931986951658764
1992,GEORGIA,2321125,1008966,995252,0.5908341860089372
1992,HAWAII,372842,179310,136822,11.395711856496854
1992,IDAHO,482142,137013,202645,-13.612587163117915
1992,ILLINOIS,5050157,2453350,1734096,14.242210687707336
1992,INDIANA,2305871,848420,989375,-6.112874484305497
1992,IOWA,1354607,586353,504891,6.01369991444013
1992,KANSAS,1157335,390434,449951,-5.142590520462964
1992,KENTUCKY,1492900,665104,617178,3.2102619063567595
1992,LOUISIANA,1790017,815971,733386,4.613643334113587
1992,MAINE,679499,263420,206504,8.376171267360217
1992,MARYLAND,1985046,988571,707094,14.179872909746171
1992,MASSACHUSETTS,2773700,1318662,805049,18.517251324945025
1992,MICHIGAN,4274673,1871182,1554940,7.398039569342496
1992,MINNESOTA,2347948,1020997,747841,11.633818125444009
1992,MISSISSIPPI,981793,400258,487793,-8.915830526394059
1992,MISSOURI,2391565,1053873,811159,10.148751967853686
1992,MONTANA,410611,154507,144207,2.5084569093375473
1992,NEBRASKA,737546,216864,343678,-17.194046201864015
1992,NEVADA,506318,189148,175828,2.630757745132506
1992,NEW HAMPSHIRE,537943,209040,202484,1.2187164811141735
1992,NEW JERSEY,3343594,1436206,1356865,2.372925660232672
1992,NEW MEXICO,569986,261617,212824,8.560385693683703
1992,NEW YORK,6926925,3444450,2346649,15.848316532949324
1992,NORTH CAROLINA,2611850,1114042,1134661,-0.7894404349407524
1992,NORTH DAKOTA,308133,99168,136244,-12.032466499855582
1992,OHIO,4939967,1984942,1894310,1.8346681263255449
1992,OKLAHOMA,1390359,473066,592929,-8.621010832454063
1992,OREGON,1462643,621314,475757,9.951642335142614
1992,PENNSYLVANIA,4959810,2239164,1791841,9.018954355106343
1992,RHODE ISLAND,453477,213299,131601,18.015908193800342
1992,SOUTH CAROLINA,1202527,479514,577507,-8.148923059523817
1992,SOUTH DAKOTA,336254,124888,136718,-3.518173761501725
1992,TENNESSEE,1982638,933521,841300,4.651429055631939
1992,TEXAS,6154018,2281815,2496071,-3.481562777359443
1992,UTAH,743999,183429,322632,-18.710105793152948
1992,VERMONT,289701,133592,88122,15.69549293927187
1992,VIRGINIA,2558665,1038650,1150517,-4.372084661337061
1992,WASHINGTON,2288230,993037,731234,11.441288681644767
1992,WEST VIRGINIA,683762,331001,241974,13.020173686165654
1992,WISCONSIN,2531114,1041066,930855,4.354248761612473
1992,WYOMING,200598,68160,79347,-5.576825292375798
1996,ALABAMA,1534349,662165,769044,-6.965755509339794
1996,ALASKA,241620,80380,122746,-17.534144524459887
1996,ARIZONA,1404405,653288,622073,2.222649449410957
1996,ARKANSAS,884262,475171,325416,16.935591487590777
1996,CALIFORNIA,10019484,5119835,3828380,12.889436222464152
1996,COLORADO,1510704,671152,691848,-1.3699573179127067
1996,CONNECTICUT,1392614,735740,483109,18.14077698486444
1996,DELAWARE,270845,140355,99062,15.24598940353339
1996,FLORIDA,5303794,2546870,2244536,5.700334515254552
1996,GEORGIA,2299071,1053849,1080843,-1.1741264188883271
1996,HAWAII,360120,205012,113943,25.288514939464623
1996,IDAHO,491719,165443,256595,-18.537416695307684
1996,ILLINOIS,4311391,2341744,1587021,17.505324847595595
1996,INDIANA,2135431,887424,1006693,-5.585242510762467
1996,IOWA,1234075,620258,492644,10.340862589388813
1996,KANSAS,1074300,387659,583245,-18.20590151726706
1996,KENTUCKY,1388708,636614,623283,0.95995702480291
1996,LOUISIANA,1783959,927837,712586,12.065916313099123
1996,MAINE,605897,312788,186378,20.863282042987507
1996,MARYLAND,1780870,966207,681530,15.98527685906327
1996,MASSACHUSETTS,2556786,1571763,718107,33.38785490846711
1996,MICHIGAN,3848844,1989653,1481212,13.21022623935914
1996,MINNESOTA,2192640,1120438,766476,16.14318812025686
1996,MISSISSIPPI,893857,394022,439838,-5.125652089763799
1996,MISSOURI,2158065,1025935,890016,6.298188423425616
1996,MONTANA,407261,167922,179652,-2.8802168633873637
1996,NEBRASKA,677415,236761,363467,-18.704339289800192
1996,NEVADA,464279,203974,199244,1.018783963952713
1996,NEW HAMPSHIRE,499175,246214,196532,9.95282215655832
1996,NEW JERSEY,3075807,1652329,1103078,17.857134729194645
1996,NEW MEXICO,556074,273495,232751,7.32708236673536
1996,NEW YORK,6316129,3756177,1933492,28.85762782869065
1996,NORTH CAROLINA,2515807,1107849,1225938,-4.693881525888111
1996,NORTH DAKOTA,266411,106905,125050,-6.810904955125724
1996,OHIO,4534434,2148222,1859883,6.358875220148757
1996,OKLAHOMA,1206713,488105,582315,-7.807158785891927
1996,OREGON,1377760,649641,538152,8.092047961909183
1996,PENNSYLVANIA,4506118,2215819,1801169,9.201933904083292
1996,RHODE ISLAND,390284,233050,104683,32.890664234249925
1996,SOUTH CAROLINA,1151689,506283,573458,-5.832737831133233
1996,SOUTH DAKOTA,323826,139333,150543,-3.4617356234521
1996,TENNESSEE,1894105,909146,863530,2.4083142170048646
1996,TEXAS,5611644,2459683,2736167,-4.9269697079857515
1996,UTAH,665629,221633,361911,-21.074502463083792
1996,VERMONT,258449,137894,80352,22.264353895739585
1996,VIRGINIA,2416642,1091060,1138350,-1.9568475595475032
1996,WASHINGTON,2253837,1123323,840712,12.539105534251144
1996,WEST VIRGINIA,636459,327812,233946,14.748161311254924
1996,WISCONSIN,2196169,1071971,845029,10.333539905171236
1996,WYOMING,211571,77934,105388,-12.9762585609559
2000,ALABAMA,1666272,692611,941173,-14.917252405369592
2000,ALASKA,285560,79004,167398,-30.95461549236588
2000,ARIZONA,1532016,685341,781652,-6.2865531430481125
2000,ARKANSAS,921781,422768,472940,-5.442941436197973
2000,CALIFORNIA,10965856,5861203,4567429,11.79820344166475
2000,COLORADO,1741368,738227,883748,-8.356705762366145
2000,CONNECTICUT,1459525,816015,561094,17.46602490536305
2000,DELAWARE,327622,180068,137288,13.057731165794728
2000,FLORIDA,5963110,2912253,2912790,-0.00900536800428342
2000,GEORGIA,2596645,1116230,1419720,-11.687774031490632
2000,HAWAII,367951,205286,137845,18.328799215112884
2000,IDAHO,501621,138637,336937,-39.53183778191105
2000,ILLINOIS,4742123,2589026,2019421,12.011603241839152
2000,INDIANA,2199302,901980,1245836,-15.634778670687332
2000,IOWA,1315563,638517,634373,0.31499821749319534
2000,KANSAS,1072218,399276,622332,-20.803232178530855
2000,KENTUCKY,1544187,638898,872492,-15.12731294849652
2000,LOUISIANA,1765656,792344,927871,-7.675730719913737
2000,MAINE,651817,319951,286616,5.114165478961125
2000,MARYLAND,2020480,1140782,813797,16.183530646183087
2000,MASSACHUSETTS,2702984,1616487,878502,27.302603345043845
2000,MICHIGAN,4232711,2170418,1953139,5.133329442997642
2000,MINNESOTA,2438685,1168266,1109659,2.40322140825896
2000,MISSISSIPPI,994184,404614,572844,-16.921414949345397
2000,MISSOURI,2359892,1111138,1189924,-3.3385426112720387
2000,MONTANA,410997,137126,240178,-25.073662338167917
2000,NEBRASKA,697019,231780,433862,-28.992323021323664
2000,NEVADA,608970,279978,301575,-3.5464801221735067
2000,NEW HAMPSHIRE,569081,266348,273559,-1.2671306896557766
2000,NEW JERSEY,3187226,1788850,1284173,15.834365056007954
2000,NEW MEXICO,598605,286783,286417,0.0611421555115621
2000,NEW YORK,6821999,4107697,2403374,24.98275065710212
2000,NORTH CAROLINA,2911262,1257692,1631163,-12.828491561391592
2000,NORTH DAKOTA,288256,95284,174852,-27.603241563055057
2000,OHIO,4701998,2183628,2350363,-3.5460457448089064
2000,OKLAHOMA,1234229,474276,744337,-21.880947538908902
2000,OREGON,1533968,720342,713577,0.4410131110948845
2000,PENNSYLVANIA,4913119,2485967,2281127,4.169245646197456
2000,RHODE ISLAND,409047,249508,130555,29.080521309287192
2000,SOUTH CAROLINA,1382717,565561,785937,-15.937896185553518
2000,SOUTH DAKOTA,316269,118804,190700,-22.73254729360133
2000,TENNESSEE,2076181,981720,1061949,-3.864258463014547
2000,TEXAS,6407637,2433746,3799639,-21.31664137653241
2000,UTAH,770754,203053,515096,-40.48542076979166
2000,VERMONT,294308,149022,119775,9.937548418663445
2000,VIRGINIA,2739447,1217290,1437490,-8.038118642193115
2000,WASHINGTON,2487433,1247652,1108864,5.579567369251759
2000,WEST VIRGINIA,648124,295497,336475,-6.32255556035573
2000,WISCONSIN,2598607,1242987,1237279,0.21965614654312904
2000,WYOMING,218351,60481,147947,-40.05752206310023
2004,ALABAMA,1883449,693933,1176394,-25.615825010393163
2004,ALASKA,312598,111025,190889,-25.548468000435054
2004,ARIZONA,2012585,893524,1104294,-10.472601157218204
2004,ARKANSAS,1054945,469953,572898,-9.758328633246288
2004,CALIFORNIA,12421852,6745485,5509826,9.94746194045783
2004,COLORADO,2130330,1001732,1101255,-4.671717527331454
2004,CONNECTICUT,1578769,857488,693826,10.366431061162212
2004,DELAWARE,375190,200152,171660,7.594019030357957
2004,FLORIDA,7609810,3583544,3964522,-5.006406204622721
2004,GEORGIA,3301875,1366149,1914254,-16.599810713609692
2004,HAWAII,429013,231708,194191,8.744956446541247
2004,IDAHO,598447,181098,409235,-38.12150449413231
2004,ILLINOIS,5274322,2891550,2345946,10.34453338267932
2004,INDIANA,2468002,969011,1479438,-20.6817903713206
2004,IOWA,1506908,741898,751957,-0.6675258210852963
2004,KANSAS,1187756,434993,736456,-25.380886309982863
2004,KENTUCKY,1795882,712733,1069439,-19.862440850790858
2004,LOUISIANA,1943106,820299,1102169,-14.506156637877709
2004,MAINE,740752,396842,330201,8.996398254746524
2004,MARYLAND,2386678,1334493,1024703,12.979966296249422
2004,MASSACHUSETTS,2912388,1803800,1071109,25.15773997145984
2004,MICHIGAN,4839252,2479183,2313746,3.4186481712463026
2004,MISSISSIPPI,1152145,458094,684981,-19.692573417408397
2004,MISSOURI,2731364,1259171,1455713,-7.19574542243363
2004,MONTANA,450445,173710,266063,-20.502614081630387
2004,NEBRASKA,778186,254328,512814,-33.21648037872693
2004,NEVADA,829587,397190,418690,-2.5916510263540804
2004,NEW HAMPSHIRE,677738,340511,331237,1.368375389899934
2004,NEW JERSEY,3611691,1911430,1670003,6.684597325740215
2004,NEW MEXICO,756304,370942,376930,-0.7917451183651003
2004,NEW YORK,7391036,4314280,2962567,18.288545746496165
2004,NORTH CAROLINA,3501007,1525849,1961166,-12.43405111729282
2004,NORTH DAKOTA,312833,111052,196651,-27.36252249602823
2004,OHIO,5627908,2741167,2859768,-2.107372757337189
2004,OKLAHOMA,1463758,503966,959792,-31.140803329512124
2004,OREGON,1836782,943163,866831,4.15574629977864
2004,PENNSYLVANIA,5769590,2938095,2793847,2.5001429910964212
2004,RHODE ISLAND,437134,259765,169046,20.753132906614457
2004,SOUTH CAROLINA,1617730,661699,937974,-17.077942549127478
2004,SOUTH DAKOTA,388215,149244,232584,-21.467485800394115
2004,TENNESSEE,2437319,1036477,1384375,-14.27379838256707
2004,TEXAS,7410765,2832704,4526917,-22.86151294771862
2004,UTAH,927844,241199,663742,-45.540306344601035
2004,VERMONT,312309,184067,121180,20.1361472131767
2004,VIRGINIA,3198367,1454742,1716959,-8.19846502918521
2004,WASHINGTON,2859084,1510201,1304894,7.180866319422585
2004,WEST VIRGINIA,755887,326541,423778,-12.86395982468279
2004,WISCONSIN,2997007,1489504,1478120,0.37984562598619154
2004,WYOMING,243428,70776,167629,-39.787123913436425
2008,ALABAMA,2099819,813479,1266546,-21.57647873459569
2008,ALASKA,326197,123594,193841,-21.53514593941698
2008,ARIZONA,2293475,1034707,1230111,-8.519996947862962
2008,ARKANSAS,1086617,422310,638017,-19.851244734805363
2008,CALIFORNIA,13561900,8274473,5011781,24.057779514669775
2008,COLORADO,2401361,1288576,1073589,8.952714731354428
2008,CONNECTICUT,1646792,997772,629428,22.36736637049487
2008,DELAWARE,412412,255459,152374,24.99563543252864
2008,FLORIDA,8390744,4282074,4045624,2.8179861046886856
2008,GEORGIA,3924440,1844137,2048744,-5.213661057373797
2008,HAWAII,453568,325871,120566,45.26443664456046
2008,IDAHO,655032,236440,403012,-25.4295973326494
2008,ILLINOIS,5523051,3419673,2031527,25.133680641370145
2008,INDIANA,2751054,1374039,1345648,1.0320044608357393
2008,IOWA,1543662,828940,682379,9.494371177110011
2008,KANSAS,1235872,514765,699655,-14.960287149478267
2008,KENTUCKY,1826508,751985,1048462,-16.231902625118533
2008,LOUISIANA,1960761,782989,1148275,-18.62980750841127
2008,MAINE,731163,421923,295273,17.321718960067734
2008,MARYLAND,2631596,1629467,959862,25.44482511753323
2008,MASSACHUSETTS,3080985,1904097,1108854,25.81132332679322
2008,MICHIGAN,5001766,2872579,2048639,16.47298174284843
2008,MINNESOTA,2910369,1573354,1275409,10.23736165414077
2008,MISSISSIPPI,1289865,554662,724597,-13.174634554778992
2008,MISSOURI,2925205,1441911,1445814,-0.1334265461736872
2008,MONTANA,490109,231667,242763,-2.26398617450404
2008,NEBRASKA,801281,333319,452979,-14.93358759286692
2008,NEVADA,967848,533736,412827,12.492560815334649
2008,NEW HAMPSHIRE,707611,384826,316534,9.651065345224984
2008,NEW JERSEY,3868237,2215422,1613207,15.568203292611082
2008,NEW MEXICO,830158,472422,346832,15.128445428460612
2008,NEW YORK,7591233,4769700,2742298,26.707150208668345
2008,NORTH CAROLINA,4310789,2142651,2128474,0.3288725103455514
2008,NORTH DAKOTA,316621,141278,168601,-8.62956026290107
2008,OHIO,5698260,2933388,2674491,4.543439576291713
2008,OKLAHOMA,1462661,502496,960165,-31.290162245387005
2008,OREGON,1827864,1037291,738475,16.347824564628443
2008,PENNSYLVANIA,6034745,3276363,2655885,10.281760041227924
2008,RHODE ISLAND,469767,296571,165391,27.92448171114616
2008,SOUTH CAROLINA,1920969,862449,1034896,-8.977083961271626
2008,SOUTH DAKOTA,381975,170924,203054,-8.411545258197528
2008,TENNESSEE,2599749,1087437,1479178,-15.068416220181252
2008,TEXAS,8077795,3528633,4479328,-11.769239006436782
2008,UTAH,952370,327670,596030,-28.178124048426557
2008,VERMONT,325046,219262,98974,37.006454471059484
2008,VIRGINIA,3723260,1959532,1725005,6.298969182920344
2008,WASHINGTON,3036878,1750848,1229216,17.17658727153346
2008,WEST VIRGINIA,713362,303857,397466,-13.122229667405882
2008,WISCONSIN,2983417,1677211,1262393,13.904124029594255
2008,WYOMING,256035,82868,164958,-32.062022770324376
2012,ALABAMA,2074338,795696,1255925,-22.186789231070343
2012,ALASKA,300495,122640,164676,-13.988918284830032
2012,ARIZONA,2299254,1025232,1233654,-9.06476622417532
2012,ARKANSAS,1069468,394409,647744,-23.687945782389008
2012,CALIFORNIA,13038547,7854285,4839958,23.11858062098484
2012,COLORADO,2569520,1323101,1185243,5.365126560602756
2012,CONNECTICUT,1558960,905083,634892,17.33149022425206
2012,DELAWARE,413921,242584,165484,18.626742784251103
2012,FLORIDA,8474179,4237756,4163447,0.876887306723162
2012,GEORGIA,3900050,1773827,2078688,-7.816848501942281
2012,HAWAII,434697,306658,121015,42.70629887024756
2012,IDAHO,652274,212787,420911,-31.90744993668305
2012,ILLINOIS,5242014,3019512,2135216,16.86939409166019
2012,INDIANA,2624534,1152887,1420543,-10.198229476166054
2012,IOWA,1582180,822544,730617,5.810148023612988
2012,KANSAS,1159971,440726,692634,-21.716749815297103
2012,KENTUCKY,1797212,679370,1087190,-22.691813764875825
2012,LOUISIANA,1994065,809141,1152262,-17.2071121051721
2012,MAINE,713180,401306,292276,15.287865615973534
2012,MARYLAND,2707327,1677844,971869,26.076458440373106
2012,MASSACHUSETTS,3167767,1921290,1188314,23.138570481983052
2012,MICHIGAN,4730961,2564569,2115256,9.49728818309853
2012,MINNESOTA,2936561,1546167,1320225,7.694102046577611
2012,MISSISSIPPI,1285584,562949,710746,-11.496487199591776
2012,MISSOURI,2757323,1223796,1482440,-9.380257590423756
2012,MONTANA,484048,201839,267928,-13.653398010114698
2012,NEBRASKA,794379,302081,475064,-21.775877761119062
2012,NEVADA,1014918,531373,463567,6.680933829136931
2012,NEW HAMPSHIRE,710972,369561,329918,5.575887658023099
2012,NEW JERSEY,3638499,2122786,1478088,17.718790083493225
2012,NEW MEXICO,783758,415335,335788,10.149433881376646
2012,NEW YORK,7061925,4471871,2485432,28.128860048782727
2012,NORTH CAROLINA,4505372,2178391,2270395,-2.0420955250753936
2012,NORTH DAKOTA,322932,124966,188320,-19.6183716695775
2012,OHIO,5580822,2827621,2661407,2.9783067798972995
2012,OKLAHOMA,1334872,443547,891325,-33.54463948603312
2012,OREGON,1789270,970488,754175,12.089455476255678
2012,PENNSYLVANIA,5753670,2990274,2680434,5.385084650318839
2012,RHODE ISLAND,446049,279677,157204,27.457297292449933
2012,SOUTH CAROLINA,1964118,865941,1071645,-10.473097848499934
2012,SOUTH DAKOTA,363815,145039,210610,-18.02317111718868
2012,TENNESSEE,2458577,960709,1462330,-20.40289972614239
2012,TEXAS,7993851,3308124,4569843,-15.783619184295532
2012,UTAH,1017440,251813,740600,-48.04086727472873
2012,VERMONT,299290,199239,92698,35.597915065655386
2012,VIRGINIA,3854490,1971820,1822522,3.873352894935511
2012,WASHINGTON,3125516,1755396,1290670,14.868776867563632
2012,WEST VIRGINIA,670438,238269,417655,-26.756538263045947
2012,WISCONSIN,3071434,1620985,1410966,6.837815821534832
2012,WYOMING,249061,69286,170962,-40.82373394469628
2016,ALABAMA,2123372,729547,1318255,-27.725146606435423
2016,ALASKA,318608,116454,163387,-14.730640787425298
2016,ARIZONA,2573165,1161167,1252401,-3.5455946276278407
2016,ARKANSAS,1130635,380494,684872,-26.920978034467357
2016,CALIFORNIA,14181595,8753788,4483810,30.109293066118447
2016,COLORADO,2780220,1338870,1202484,4.905583011416365
2016,CONNECTICUT,1644920,897572,673215,13.639386717895093
2016,DELAWARE,441590,235603,185127,11.430512466314912
2016,FLORIDA,9420039,4504975,4617886,-1.1986256107856863
2016,GEORGIA,4092373,1877963,2089104,-5.159378189622493
2016,HAWAII,428937,266891,128847,32.18281472570565
2016,IDAHO,690255,189765,409055,-31.769418548217683
2016,ILLINOIS,5536424,3090729,2146015,17.063613624968028
2016,INDIANA,2734958,1033126,1557286,-19.165193761659232
2016,IOWA,1566031,653669,800983,-9.406838051098603
2016,KANSAS,1184402,427005,671018,-20.60221107360508
2016,KENTUCKY,1924149,628854,1202971,-29.837450218252332
2016,LOUISIANA,2029032,780154,1178638,-19.63911855505483
2016,MAINE,747927,357735,335593,2.960449348666383
2016,MARYLAND,2781446,1677928,943169,26.4164395066451
2016,MASSACHUSETTS,3325046,1995196,1090893,27.19670645157992
2016,MICHIGAN,4799284,2268839,2279543,-0.223033269129308
2016,MINNESOTA,2944813,1367716,1322951,1.520130480271581
2016,MISSISSIPPI,1209357,485131,700714,-17.826249817051544
2016,MISSOURI,2808605,1071068,1594511,-18.637117002924946
2016,MONTANA,494526,177709,279240,-20.53097309342684
2016,NEBRASKA,844227,284494,495961,-25.048594749990222
2016,NEVADA,1125385,539260,512058,2.4171283605166236
2016,NEW HAMPSHIRE,744296,348526,345790,0.3675956877371378
2016,NEW JERSEY,3874046,2148278,1601933,14.102697799664748
2016,NEW MEXICO,798318,385234,319666,8.21326839680428
2016,NEW YORK,7622328,4491191,2790073,22.31756492242265
2016,NORTH CAROLINA,4741558,2189313,2362628,-3.6552331533221736
2016,NORTH DAKOTA,344360,93758,216794,-35.72888837263329
2016,OHIO,5496487,2394164,2841005,-8.12957439906617
2016,OKLAHOMA,1452992,420375,949136,-36.39118453508347
2016,OREGON,2001336,1002106,782403,10.977816818365326
2016,PENNSYLVANIA,6115402,2926441,2970733,-0.7242696391831671
2016,RHODE ISLAND,464144,252525,180543,15.508549070977978
2016,SOUTH CAROLINA,2103027,855373,1155389,-14.265912896030342
2016,SOUTH DAKOTA,370047,117442,227701,-29.795944839439315
2016,TENNESSEE,2508027,870695,1522925,-26.00570089556452
2016,TEXAS,8969226,3877868,4685047,-8.999427598323424
2016,UTAH,1131430,310676,515231,-18.079333233165112
2016,VERMONT,315067,178573,95369,26.40835123957761
2016,VIRGINIA,3982752,1981473,1769443,5.323705819493652
2016,WASHINGTON,3209214,1742718,1221747,16.233601124761392
2016,WEST VIRGINIA,713051,188794,489371,-42.15364679384784
2016,WISCONSIN,2976150,1382536,1405284,-0.7643431950674573
2016,WYOMING,255849,55973,174419,-46.295275729043304
2020,ALABAMA,2323282,849624,1441170,-25.46165295474247
2020,ALASKA,359530,153778,189951,-10.06119099936028
2020,ARIZONA,3387326,1672143,1661686,0.30870958390187275
2020,ARKANSAS,1219069,423932,760647,-27.62066790312936
2020,CALIFORNIA,17500881,11110250,6006429,29.163223268588588
2020,COLORADO,3256952,1804352,1364607,13.501734136702042
2020,CONNECTICUT,1824280,1080680,715291,20.02921700616134
2020,DELAWARE,504010,296268,200603,18.98077419098827
2020,FLORIDA,11067456,5297045,5668731,-3.358368897061803
2020,GEORGIA,4997716,2473633,2461854,0.23568766212405667
2020,HAWAII,574469,366130,196864,29.464775296839345
2020,IDAHO,868014,287021,554119,-30.771162677099685
2020,ILLINOIS,6033744,3471915,2446891,16.98819174297087
2020,INDIANA,3033121,1242416,1729519,-16.059464821878194
2020,IOWA,1690871,759061,897672,-8.197609397760091
2020,KANSAS,1372303,570323,771406,-14.652959295432572
2020,KENTUCKY,2136768,772474,1326646,-25.9350570581364
2020,LOUISIANA,2148062,856034,1255776,-18.609425612482315
2020,MAINE,819461,435072,360737,9.07120656138608
2020,MARYLAND,3037030,1985023,976414,33.210373292328356
2020,MASSACHUSETTS,3631403,2382202,1167202,33.458142761902224
2020,MICHIGAN,5539301,2804040,2649852,2.7835281021919567
2020,MINNESOTA,3277171,1717077,1484065,7.110156900570641
2020,MISSISSIPPI,1313759,539398,756764,-16.54534811940394
2020,MISSOURI,3025962,1253014,1718736,-15.39087404270113
2020,MONTANA,603640,244786,343602,-16.370021867338146
2020,NEBRASKA,951712,374583,556846,-19.151066709256575
2020,NEVADA,1405376,703486,669890,2.390534632724617
2020,NEW HAMPSHIRE,806205,424937,365660,7.352596423986451
2020,NEW JERSEY,4549353,2608335,1883274,15.937672895464477
2020,NEW MEXICO,923965,501614,401894,10.792616603442768
2020,NEW YORK,8594826,5230985,3244798,23.109100754337547
2020,NORTH CAROLINA,5524804,2684292,2758775,-1.3481564232866894
2020,NORTH DAKOTA,361819,114902,235595,-33.357286377995635
2020,OHIO,5922202,2679165,3154834,-8.031961760169615
2020,OKLAHOMA,1560699,503890,1020280,-33.08709751207632
2020,OREGON,2374321,1340383,958448,16.086072607705525
2020,PENNSYLVANIA,6915283,3458229,3377674,1.1648836352756708
2020,RHODE ISLAND,517757,307486,199922,20.77499676489164
2020,SOUTH CAROLINA,2513329,1091541,1385103,-11.680205814678455
2020,SOUTH DAKOTA,422609,150471,261043,-26.16413753611495
2020,TENNESSEE,3053851,1143711,1852475,-23.208859895260108
2020,TEXAS,11315056,5259126,5890347,-5.578593689682138
2020,UTAH,1488289,560282,865140,-20.483790446613533
2020,VERMONT,367428,242820,112704,35.412652274731386
2020,VIRGINIA,4460524,2413568,1962430,10.114013510520287
2020,WASHINGTON,4087631,2369612,1584651,19.20332339195979
2020,WEST VIRGINIA,794652,235984,545382,-38.935030680096446
2020,WISCONSIN,3298041,1630866,1610184,0.6270995418189151
2020,WYOMING,276765,73491,193559,-43.382653153397285
2024,ALABAMA,2248337,769391,1457704,-30.61431627020327
2024,ALASKA,337733,139812,184204,-13.14411088048843
2024,ARIZONA,3389319,1582860,1770242,-5.5286032385856885
2024,ARKANSAS,1182676,396905,759241,-30.63696227876443
2024,CALIFORNIA,15556719,9123913,5938601,20.475474295061836
2024,COLORADO,3189923,1727603,1377078,10.9885097539972
2024,CONNECTICUT,1763119,994287,739317,14.461304086678211
2024,DELAWARE,511697,289758,214351,14.736650791386307
2024,FLORIDA,10893547,4683038,6110125,-13.100296900541208
2024,GEORGIA,5250047,2548017,2663117,-2.192361325527176
2024,HAWAII,515508,312384,193169,23.125732287374785
